Uni_ID	Other_Uni_ID	Name	Topology	TM_domain	Subcellular_location	Subcellular_topology	Tag
P28223	B2RAC5;B4DZ79;F5GWE8;Q5T8C0	5HT2A_HUMAN	Extracellular:1-75;Cytoplasmic:100-110;Extracellular:133-148;Cytoplasmic:172-191;Extracellular:216-233;Cytoplasmic:255-324;Extracellular:347-362;Cytoplasmic:385-471	76-99;111-132;149-171;192-215;234-254;325-346;363-384	Cell membrane;Cell projection;Dendrite;Axon;Cytoplasmic vesicle;Membrane;Caveola;Cell junction;Synapse;Presynapse	Multi-pass membrane protein	Cell_surface:TM
P50406	Q13640;Q5TGZ1	5HT6R_HUMAN	Extracellular:1-34;Cytoplasmic:58-64;Extracellular:86-100;Cytoplasmic:123-144;Extracellular:167-184;Cytoplasmic:209-265;Extracellular:291-295;Cytoplasmic:321-440	35-57;65-85;101-122;145-166;185-208;266-290;296-320	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P28335	B1AMW4;Q5VUF8;Q9NP28	5HT2C_HUMAN	Extracellular:33-52;Cytoplasmic:79-89;Extracellular:111-127;Cytoplasmic:151-170;Extracellular:194-213;Cytoplasmic:236-311;Extracellular:334-348;Cytoplasmic:372-458	53-78;90-110;128-150;171-193;214-235;312-333;349-371	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P46098	B4DSY6;G5E986;O60854;Q7KZM7;Q99918;Q9BSZ9	5HT3A_HUMAN	Extracellular:24-241;Cytoplasmic:269-273;Extracellular:293-302;Cytoplasmic:322-455;Extracellular:476-478	242-268;274-292;303-321;456-475	Cell junction;Synapse;Postsynaptic cell membrane;Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q676U5	A3EXK9;A3EXL0;B6ZDH0;Q6IPN1;Q6UXW4;Q6ZVZ5;Q8NCY2;Q96JV5;Q9H619	A16L1_HUMAN			Cytoplasm;Preautophagosomal structure membrane;Endosome membrane;Lysosome membrane	Peripheral membrane protein	Membrane_protein
Q9UNA3	Q0VDK1;Q0VDK2	A4GCT_HUMAN	Cytoplasmic:1-4;Lumenal:26-340	5-25	Golgi apparatus membrane	Single-pass type II membrane protein	Membrane_protein
U3KPV4		A3LT2_HUMAN	Cytoplasmic:1-12;Lumenal:33-340	13-32	Golgi apparatus;Golgi stack membrane	Single-pass type II membrane protein	Membrane_protein
Q9NPC4	B2R7C4;Q9P1X5	A4GAT_HUMAN	Cytoplasmic:1-22;Lumenal:44-353	23-43	Golgi apparatus membrane	Single-pass type II membrane protein	Membrane_protein
P29274	B2R7E0	AA2AR_HUMAN	Extracellular:1-7;Cytoplasmic:33-42;Extracellular:67-77;Cytoplasmic:101-120;Extracellular:144-173;Cytoplasmic:199-234;Extracellular:259-266;Cytoplasmic:291-412	8-32;43-66;78-100;121-143;174-198;235-258;267-290	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q9NS82	B2RE84	AAA1_HUMAN		40-60;72-92;113-133;268-288;310-330;362-382;388-408;424-444;448-468	Membrane	Multi-pass membrane protein	Membrane_protein
P29275		AA2BR_HUMAN	Extracellular:1-8;Cytoplasmic:34-43;Extracellular:68-78;Cytoplasmic:102-121;Extracellular:145-178;Cytoplasmic:204-235;Extracellular:260-267;Cytoplasmic:292-332	9-33;44-67;79-101;122-144;179-203;236-259;268-291	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P30542	A6NFY5;A6NGP4;A8K1L3;B3KXQ4;D2CGD0;Q6FHK3;Q8TAM8	AA1R_HUMAN	Extracellular:1-10;Cytoplasmic:34-46;Extracellular:70-80;Cytoplasmic:103-123;Extracellular:147-176;Cytoplasmic:202-235;Extracellular:260-267;Cytoplasmic:293-326	11-33;47-69;81-102;124-146;177-201;236-259;268-292	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P0DMS8	A2A3P4;P33765;Q6UWU0;Q9BYZ1	AA3R_HUMAN	Extracellular:1-14;Cytoplasmic:38-48;Extracellular:73-84;Cytoplasmic:107-126;Extracellular:149-177;Cytoplasmic:199-231;Extracellular:256-261;Cytoplasmic:285-318	15-37;49-72;85-106;127-148;178-198;232-255;262-284	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q15758	A8K9H5;B4DR77;B4DWS4;B7ZB81;D0EYG6;E9PC01;O95720;Q96RL9;Q9BWQ3;Q9UNP2	AAAT_HUMAN	Cytoplasmic:1-51;Extracellular:82-94;Cytoplasmic:117-130;Extracellular:154-224;Cytoplasmic:249-257;Extracellular:286-306;Cytoplasmic:329-333;Cytoplasmic:365-373;Extracellular:401-413;Extracellular:448-460;Cytoplasmic:483-541	52-81;95-116;131-153;225-248;258-285;307-328;374-400;461-482	Cell membrane;Melanosome	Multi-pass membrane protein	Cell_surface:TM
P22760	A8K3L3;D3DNJ6;Q8N1A9	AAAD_HUMAN	Cytoplasmic:1-5;Lumenal:24-399	6-23	Endoplasmic reticulum membrane;Microsome membrane	Single-pass type II membrane protein	Membrane_protein
P05067	B2R5V1;B4DII8;D3DSD1;D3DSD2;D3DSD3;P09000;P78438;Q13764;Q13778;Q13793;Q16011;Q16014;Q16019;Q16020;Q6GSC0;Q8WZ99;Q9BT38;Q9UC33;Q9UCA9;Q9UCB6;Q9UCC8;Q9UCD1;Q9UQ58	A4_HUMAN	Extracellular:18-701;Cytoplasmic:723-770	702-722	Cell membrane;Membrane;Perikaryon;Cell projection;Growth cone;Clathrin-coated pit;Early endosome;Cytoplasmic vesicle;Endoplasmic reticulum;Golgi apparatus;Secreted;Cell surface;Nucleus;Cytoplasm	Single-pass type I membrane protein	Cell_surface:TM
Q2M2I8	Q4ZFZ3;Q53RX6;Q9UPV4	AAK1_HUMAN			Cell membrane;Membrane;Clathrin-coated pit;Cell junction;Synapse;Presynapse	Peripheral membrane protein	Cell_surface:Other
Q13685	Q8WUJ9;Q96H92	AAMP_HUMAN			Cell membrane;Cytoplasm		Cell_surface:Other
Q5VST6	A8KAJ5;Q5VST7;Q86YB6;Q8IY03;Q9Y377	AB17B_HUMAN			Cell membrane;Recycling endosome membrane;Cell projection;Dendritic spine;Cell junction;Synapse;Postsynaptic density membrane	Lipid-anchor	Cell_surface:Other
P00505	B4DJA6;E7ERW2;Q53FL3;Q9BWA3	AATM_HUMAN			Mitochondrion matrix;Cell membrane		Cell_surface:Other
Q6PCB6	Q1RMD6;Q9NPM1	AB17C_HUMAN			Recycling endosome membrane;Cell projection;Dendritic spine;Cell junction;Synapse;Postsynaptic density membrane	Lipid-anchor	Membrane_protein
Q7Z5R6	Q8IWS8;Q8IYL7;Q8IZZ7	AB1IP_HUMAN			Cell membrane;Cell projection;Lamellipodium;Cell junction;Focal adhesion;Cytoplasm;Cytoskeleton	Peripheral membrane protein	Cell_surface:Other
Q96GS6	A8K0G8;D6W5Z9;Q6PJU2;Q8WUH9;Q9BWL0;Q9H7Q9	AB17A_HUMAN			Cell membrane;Endosome membrane;Cell projection;Dendritic spine;Cell junction;Synapse;Postsynaptic density membrane	Lipid-anchor	Cell_surface:Other
Q8N139	Q6NSH9;Q8N856;Q8WWZ6	ABCA6_HUMAN		31-51;222-242;268-288;297-317;327-347;355-375;397-417;854-874;1007-1027;1062-1082;1094-1114;1127-1147;1150-1170;1194-1214	Golgi apparatus membrane	Multi-pass membrane protein	Membrane_protein
Q9UBJ2	B2RAM3;Q13210;Q2M3H9	ABCD2_HUMAN		107-127;144-164;251-271;351-371	Peroxisome membrane	Multi-pass membrane protein	Membrane_protein
O95477	Q5VX33;Q96S56;Q96T85;Q9NQV4;Q9UN06;Q9UN07;Q9UN08;Q9UN09	ABCA1_HUMAN	Extracellular:43-639;Extracellular:1372-1656	22-42;640-660;683-703;716-736;745-765;777-797;827-847;1041-1057;1351-1371;1657-1677;1703-1723;1735-1755;1768-1788;1802-1822;1852-1872	Cell membrane;Endosome	Multi-pass membrane protein	Cell_surface:TM
Q8IZY2	Q96S58;Q9BZC4;Q9NR73;Q9UKP8	ABCA7_HUMAN	Extracellular:43-549;Extracellular:1264-1537	22-42;550-570;593-613;626-646;655-675;687-707;727-747;849-869;1243-1263;1538-1558;1584-1604;1621-1641;1649-1669;1683-1703;1729-1749	Cell membrane;Golgi apparatus membrane;Early endosome membrane;Cytoplasm;Cell projection;Ruffle membrane;Phagocytic cup;Endoplasmic reticulum	Multi-pass membrane protein	Cell_surface:TM
Q09428	A6NMX8;E3UYX6;O75948;Q16583	ABCC8_HUMAN	Extracellular:1-34;Cytoplasmic:56-75;Extracellular:97-101;Cytoplasmic:123-134;Extracellular:155-167;Cytoplasmic:195-311;Extracellular:332-355;Cytoplasmic:377-434;Extracellular:456-458;Cytoplasmic:480-541;Extracellular:563-584;Cytoplasmic:606-1004;Extracellular:1026-1072;Cytoplasmic:1094-1137;Extracellular:1159-1159;Cytoplasmic:1181-1251;Extracellular:1273-1276;Cytoplasmic:1298-1581	35-55;76-96;102-122;135-154;168-194;312-331;356-376;435-455;459-479;542-562;585-605;1005-1025;1073-1093;1138-1158;1160-1180;1252-1272;1277-1297	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q9NP78	B4E2J0;Q5W9G7;Q769F3;Q769F4;Q96AB1;Q9P208	ABCB9_HUMAN		7-27;47-67;84-104;116-136;185-205;225-245;319-339;416-436	Lysosome membrane	Multi-pass membrane protein	Membrane_protein
Q2M3G0	A4D131;A7BKA4;B5MD19;B7WPL1;F8QQP8;F8QQP9;J3KQ04;Q2M3I5;Q5I5Q7;Q5I5Q8;Q6KG50;Q6XFQ5;Q8IXA1	ABCB5_HUMAN		49-69;110-130;181-201;203-223;294-314;322-342;693-713;737-757;827-847;917-937;954-974	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
P28288	D3DT46;Q15271;Q6NUN5;Q96DA3;Q9H529	ABCD3_HUMAN		84-104;126-146;224-244;313-333	Peroxisome membrane	Multi-pass membrane protein	Membrane_protein
Q9H172	A8K1B5;Q8WWH0;Q8WWH1;Q8WWH2	ABCG4_HUMAN	Cytoplasmic:1-393;Extracellular:415-425;Cytoplasmic:447-472;Extracellular:494-503;Cytoplasmic:525-532;Extracellular:554-617;Cytoplasmic:639-646	394-414;426-446;473-493;504-524;533-553;618-638	Cell membrane;Cytoplasmic vesicle membrane;Endosome membrane	Multi-pass membrane protein	Cell_surface:TM
Q9BZC7	A6NED5;Q5SPY5;Q5W9G5;Q76MW7;Q9HC28	ABCA2_HUMAN		22-42;54-74;699-719;750-770;782-802;813-833;857-877;893-913;1456-1476;1792-1812;1841-1861;1872-1892;1905-1925;1991-2011	Endosome membrane;Lysosome membrane	Multi-pass membrane protein	Membrane_protein
O60706	O60707	ABCC9_HUMAN	Extracellular:1-30;Cytoplasmic:52-72;Extracellular:94-101;Cytoplasmic:123-132;Extracellular:154-167;Cytoplasmic:189-301;Extracellular:323-350;Cytoplasmic:372-423;Extracellular:445-455;Cytoplasmic:477-531;Extracellular:553-571;Cytoplasmic:593-990;Extracellular:1012-1034;Cytoplasmic:1056-1127;Extracellular:1149-1245;Cytoplasmic:1267-1549	31-51;73-93;102-122;133-153;168-188;302-322;351-371;424-444;456-476;532-552;572-592;991-1011;1035-1055;1128-1148;1246-1266	Membrane	Multi-pass membrane protein	Cell_surface:TM
O94911	A1L3U3;C9JQE6;Q86WW0	ABCA8_HUMAN		30-50;220-240;268-288;299-319;327-347;359-379;397-417;864-884;1019-1039;1070-1090;1106-1126;1136-1156;1161-1181;1197-1217	Cell membrane;Basolateral cell membrane	Multi-pass membrane protein	Cell_surface:Other
P45844	Q86SU8;Q96L76;Q9BXK6;Q9BXK7;Q9BXK8;Q9BXK9;Q9BXL0;Q9BXL1;Q9BXL2;Q9BXL3;Q9BXL4	ABCG1_HUMAN	Cytoplasmic:1-426;Extracellular:446-456;Cytoplasmic:478-506;Extracellular:526-533;Cytoplasmic:556-567;Extracellular:587-649;Cytoplasmic:670-678	427-445;457-477;507-525;534-555;568-586;650-669	Endoplasmic reticulum membrane;Golgi apparatus membrane;Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q9NRK6	Q13040;Q6P1Q8;Q9H3V0	ABCBA_HUMAN	Mitochondrial intermembrane:106-170;Mitochondrial matrix:192-215;Mitochondrial intermembrane:237-312;Mitochondrial matrix:334-407;Mitochondrial intermembrane:429-430;Mitochondrial matrix:452-738	171-191;216-236;313-333;408-428;431-451	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
Q8IUA7	Q6P655;Q8N2S4;Q8WWZ5;Q96MD8	ABCA9_HUMAN		31-51;221-243;269-289;300-320;329-349;354-374;398-418;864-884;1026-1046;1065-1085;1108-1128;1136-1156;1163-1183;1200-1220	Membrane	Multi-pass membrane protein	Membrane_protein
O14678	A8K5L7;Q6IAQ0;Q96E75	ABCD4_HUMAN		43-63;76-96;190-210;279-299;314-334	Endoplasmic reticulum membrane;Lysosome membrane	Multi-pass membrane protein	Membrane_protein
Q9H222	Q2T9G2;Q96QZ2;Q96QZ3	ABCG5_HUMAN	Cytoplasmic:1-383;Extracellular:405-421;Cytoplasmic:443-467;Extracellular:490-500;Cytoplasmic:522-528;Extracellular:550-623;Cytoplasmic:645-651	384-404;422-442;468-489;501-521;529-549;624-644	Cell membrane;Apical cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q9NP58	O75542;Q49A66;Q59GQ5;Q6ZME6;Q96ME8;Q9HAQ6;Q9HAQ7	ABCB6_HUMAN	Lumenal:1-26;Cytoplasmic:48-72;Lumenal:94-106;Cytoplasmic:128-147;Lumenal:169-185;Cytoplasmic:207-263;Lumenal:285-291;Cytoplasmic:313-375;Lumenal:397-397;Cytoplasmic:419-499;Lumenal:521-529;Cytoplasmic:551-842	27-47;73-93;107-127;148-168;186-206;264-284;292-312;376-396;398-418;500-520;530-550	Cell membrane;Mitochondrion outer membrane;Endoplasmic reticulum membrane;Golgi apparatus membrane;Endosome membrane;Lysosome membrane;Late endosome membrane;Early endosome membrane;Secreted;Extracellular exosome;Mitochondrion;Endosome;Multivesicular body membrane;Melanosome membrane	Multi-pass membrane protein	Cell_surface:Other
Q8WWZ4	C9JZH2;C9K035;Q6PIQ6;Q7Z2I9;Q7Z7P7;Q86TD2	ABCAA_HUMAN		83-103;135-155;185-205;210-230;240-260;264-284;310-330;774-794;890-910;926-946;985-1005;1014-1034;1046-1066;1073-1093;1113-1133	Membrane	Multi-pass membrane protein	Membrane_protein
Q99758	B2RU09;Q54A95;Q6P5P9;Q92473	ABCA3_HUMAN		22-42;261-283;307-327;344-364;373-393;405-425;447-467;925-945;1100-1120;1144-1164;1183-1203;1213-1233;1245-1265;1306-1326	Endosome;Multivesicular body membrane;Cytoplasmic vesicle membrane;Late endosome membrane;Lysosome membrane	Multi-pass membrane protein	Membrane_protein
Q8N2K0	A6NED4;A6NJ90;A8K450;B4DE71;Q5T710;Q5T711;Q96CR1;Q9BX05;Q9NPX7;Q9UFV6	ABD12_HUMAN	Cytoplasmic:1-74;Extracellular:96-398	75-95	Endoplasmic reticulum membrane	Single-pass membrane protein	Cell_surface:TM
Q9UNQ0	A0A1W3;A8K1T5;O95374;Q4W5I3;Q53ZQ1;Q569L4;Q5YLG4;Q86V64;Q8IX16;Q96LD6;Q96TA8;Q9BY73;Q9NUS0	ABCG2_HUMAN	Cytoplasmic:1-395;Extracellular:417-428;Cytoplasmic:450-477;Extracellular:499-506;Cytoplasmic:528-535;Extracellular:557-630;Cytoplasmic:652-655	396-416;429-449;478-498;507-527;536-556;631-651	Cell membrane;Apical cell membrane;Mitochondrion membrane	Multi-pass membrane protein	Cell_surface:TM
Q86UK0	Q53QE2;Q53S55;Q8IZW6;Q96JT3;Q9Y4M5	ABCAC_HUMAN		23-43;1065-1085;1112-1132;1145-1165;1174-1194;1200-1220;1250-1270;1747-1767;1979-1999;2035-2055;2072-2092;2103-2123;2187-2207;2270-2290	Cytoplasmic vesicle;Secretory vesicle membrane;Golgi apparatus membrane	Multi-pass membrane protein	Membrane_protein
Q9H221	Q53QN8	ABCG8_HUMAN	Cytoplasmic:1-416;Extracellular:438-447;Cytoplasmic:469-497;Extracellular:519-527;Cytoplasmic:549-555;Extracellular:577-639;Cytoplasmic:661-673	417-437;448-468;498-518;528-548;556-576;640-660	Cell membrane;Apical cell membrane	Multi-pass membrane protein	Cell_surface:TM
O95342	Q53TL2;Q9UNB2	ABCBB_HUMAN	Cytoplasmic:1-62;Extracellular:84-147;Cytoplasmic:169-215;Extracellular:237-240;Cytoplasmic:262-319;Extracellular:341-353;Cytoplasmic:375-755;Extracellular:777-794;Cytoplasmic:816-869;Cytoplasmic:912-979;Extracellular:1001-1011;Cytoplasmic:1033-1321	63-83;148-168;216-236;241-261;320-340;354-374;756-776;795-815;870-890;891-911;980-1000;1012-1032	Apical cell membrane;Recycling endosome membrane;Endosome;Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q86UQ4	K9LC76;K9LC79;K9LCX7;K9LDK8;K9LDY4;Q6ZTT7;Q86WI2;Q8N248	ABCAD_HUMAN		23-43;3568-3588;3607-3627;3648-3668;3679-3699;3709-3729;3752-3772;4226-4246;4458-4478;4504-4524;4536-4556;4568-4588;4607-4627;4651-4671	Cytoplasmic vesicle membrane	Multi-pass membrane protein	Membrane_protein
P33897	Q6GTZ2	ABCD1_HUMAN		92-112;131-151;238-258;333-353;473-493	Peroxisome membrane;Mitochondrion membrane;Lysosome membrane;Endoplasmic reticulum membrane	Multi-pass membrane protein	Membrane_protein
O75027	G3XAC4;O75345;Q5VWY7;Q5VWY8;Q9BRE1;Q9UND1;Q9UP01	ABCB7_HUMAN	Mitochondrial matrix:23-140;Mitochondrial intermembrane:162-185;Mitochondrial matrix:207-259;Mitochondrial intermembrane:281-290;Mitochondrial matrix:312-382;Mitochondrial intermembrane:404-409;Mitochondrial matrix:431-752	141-161;186-206;260-280;291-311;383-403;410-430	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
P08910	Q53G48;Q53GU0;Q5FVD9;Q8TC79	ABHD2_HUMAN	Cytoplasmic:1-9;Extracellular:31-425	10-30	Cell projection;Cilium;Flagellum membrane;Cell membrane	Single-pass type II membrane protein	Cell_surface:TM
Q9BUJ0	Q6UXU8;Q9Y3T7	ABHEA_HUMAN		35-55	Cytoplasm;Membrane	Single-pass type II membrane protein	Membrane_protein
Q8WU67	B0YIV0;B7Z5C2;O43411	ABHD3_HUMAN		26-46	Membrane	Single-pass type II membrane protein	Membrane_protein
Q96SE0	B3KSF6;E9PDR9;Q05BY3;Q53SZ1;Q8IXQ7	ABHD1_HUMAN		17-37	Membrane	Single-pass type II membrane protein	Membrane_protein
O95870	A2BEY3;B7Z4R6;Q5SRR1;Q5SRR2;Q8WYH0;Q9NW33	ABHGA_HUMAN	Cytoplasmic:114-558	60-80;93-113	Membrane	Multi-pass membrane protein	Membrane_protein
Q7L211	B3KWE7;Q8NBW1;Q96JX9	ABHDD_HUMAN		37-57	Membrane	Single-pass type II membrane protein	Membrane_protein
P78363	O15112;O60438;O60915;Q0QD48;Q4LE31	ABCA4_HUMAN	Cytoplasmic:1-21;Extracellular:43-646;Cytoplasmic:668-699;Extracellular:721-730;Cytoplasmic:752-759;Extracellular:781-835;Cytoplasmic:857-1376;Extracellular:1398-1727;Cytoplasmic:1749-1759;Extracellular:1781-1792;Cytoplasmic:1814-1831;Extracellular:1853-1873;Cytoplasmic:1895-2273	22-42;647-667;700-720;731-751;760-780;836-856;1377-1397;1728-1748;1760-1780;1793-1813;1832-1852;1874-1894	Membrane;Endoplasmic reticulum;Cytoplasmic vesicle;Cell projection;Cilium;Photoreceptor outer segment	Multi-pass membrane protein	Cell_surface:TM
P00519	A3KFJ3;Q13869;Q13870;Q16133;Q17R61;Q45F09	ABL1_HUMAN			Cytoplasm;Cytoskeleton;Nucleus;Mitochondrion;Nucleus membrane	Lipid-anchor	Membrane_protein
Q8WWZ7	Q8IVJ2;Q96LJ1;Q96MS4;Q96PZ9;Q9NY14	ABCA5_HUMAN		32-52;220-240;264-284;297-317;328-348;355-375;396-416;866-886;967-987;1021-1041;1071-1091;1102-1122;1139-1159;1169-1189;1207-1227	Golgi apparatus membrane;Lysosome membrane;Late endosome membrane;Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q9BV23	B2R7Y9;Q6ZMF7	ABHD6_HUMAN	Extracellular:1-8;Cytoplasmic:30-337	9-29	Late endosome membrane;Lysosome membrane;Mitochondrion membrane	Single-pass type II membrane protein	Cell_surface:TM
Q15027	Q53XN9	ACAP1_HUMAN			Recycling endosome membrane	Peripheral membrane protein	Membrane_protein
Q15057	A8K2V4;Q8N5Z8;Q9UQR3	ACAP2_HUMAN			Endosome membrane	Peripheral membrane protein	Membrane_protein
Q5T8D3	B3KQ56;D3DRW0;Q5T8D4;Q5T8E1;Q5T8E2;Q86UV1;Q8N6E3;Q9UFB5	ACBD5_HUMAN		506-526	Peroxisome membrane	Single-pass membrane protein	Membrane_protein
Q96GR2	B2RB61;O75126;Q76N27;Q9HC26	ACBG1_HUMAN			Cytoplasm;Cytoplasmic vesicle;Microsome;Endoplasmic reticulum;Cell membrane		Cell_surface:Other
