Transcript	Group	CPM	Type
ENST00000458029	M492	0.0	Annotated
ENST00000458029	SBCL2	0.0	Annotated
ENST00000458029	M244	0.0	Annotated
ENST00000458029	M257	0.0	Annotated
ENST00000458029	M296	0.0	Annotated
ENST00000458029	M318	0.0	Annotated
ENST00000458029	M381	0.0	Annotated
ENST00000458029	M406	0.0	Annotated
ENST00000458029	M407	0.0	Annotated
ENST00000458029	M410	0.0	Annotated
ENST00000458029	WM1366	0.0	Annotated
ENST00000458029	Melanocyte_EHMa	0.0	Annotated
ENST00000458029	Melanocyte_HEMa	0.0	Annotated
ENST00000458029	Melanocyte_PEMa	0.0	Annotated
ENST00000458029	Bladder	0.0	Annotated
ENST00000458029	Blood	0.0	Annotated
ENST00000458029	Brain	0.0	Annotated
ENST00000458029	Brain_Caudate_Nucleus	4.0228434753038975	Annotated
ENST00000458029	Brain_Cerebellum	0.0	Annotated
ENST00000458029	Brain_Cerebral_Cortex	0.0	Annotated
ENST00000458029	Brain_Corpus_Callosum	0.0	Annotated
ENST00000458029	Brain_Frontal_Lobe	0.0	Annotated
ENST00000458029	Brain_Hippocampus	0.0	Annotated
ENST00000458029	Brain_Medulla_Oblongata	0.0	Annotated
ENST00000458029	Brain_Pons	0.0	Annotated
ENST00000458029	Brain_Spinal_Cord	0.0	Annotated
ENST00000458029	Brain_Temporal_Lobe	6.487134147933506	Annotated
ENST00000458029	Brain_Thalamus	0.0	Annotated
ENST00000458029	Colon	0.0	Annotated
ENST00000458029	Heart	0.0	Annotated
ENST00000458029	Kidney	0.0	Annotated
ENST00000458029	Liver	0.0	Annotated
ENST00000458029	Lung	0.0	Annotated
ENST00000458029	Ovary	0.0	Annotated
ENST00000458029	Pancreas	0.0	Annotated
ENST00000458029	Prostate	0.0	Annotated
ENST00000458029	Skeletal_Muscle	0.0	Annotated
ENST00000458029	Small_Intestine	0.0	Annotated
ENST00000458029	Spleen	0.0	Annotated
ENST00000458029	Stomach	0.0	Annotated
ENST00000458029	Testis	0.0	Annotated
ENST00000458029	Thyroid	0.0	Annotated
ENST00000420165	M202	0.0	Annotated
ENST00000420165	M207	0.0	Annotated
ENST00000420165	M230	0.0	Annotated
ENST00000420165	M249	0.0	Annotated
ENST00000420165	M262	0.0	Annotated
ENST00000420165	M285	0.0	Annotated
ENST00000420165	M311	0.0	Annotated
ENST00000420165	M368	0.0	Annotated
ENST00000420165	M403	0.0	Annotated
ENST00000420165	M412	0.0	Annotated
ENST00000420165	M412B	0.0	Annotated
ENST00000420165	M417	0.0	Annotated
ENST00000420165	PB	0.0	Annotated
ENST00000420165	SKMEL173	0.0	Annotated
ENST00000420165	SKMEL176	0.0	Annotated
ENST00000420165	M229	0.0	Annotated
ENST00000420165	M263	0.0	Annotated
ENST00000420165	M297	0.0	Annotated
ENST00000420165	M308	0.0	Annotated
ENST00000420165	M375	0.0	Annotated
ENST00000420165	M376	0.0	Annotated
ENST00000420165	M383	0.0	Annotated
ENST00000420165	M395	0.0	Annotated
ENST00000420165	M397	0.0	Annotated
ENST00000420165	M398	0.0	Annotated
ENST00000420165	M399	0.0	Annotated
ENST00000420165	M233	0.0	Annotated
ENST00000420165	M238	0.0	Annotated
ENST00000420165	M243	0.0	Annotated
ENST00000420165	M245	0.0	Annotated
ENST00000420165	M255	0.0	Annotated
ENST00000420165	M299	0.0	Annotated
ENST00000420165	M370	0.0	Annotated
ENST00000420165	M409	0.0	Annotated
ENST00000420165	M411	0.0	Annotated
ENST00000420165	M418	0.0	Annotated
ENST00000420165	M420	0.0	Annotated
ENST00000420165	M423	0.0	Annotated
ENST00000420165	M492	0.0	Annotated
ENST00000420165	SBCL2	0.0	Annotated
ENST00000420165	M244	0.0	Annotated
ENST00000420165	M257	0.0	Annotated
ENST00000420165	M296	0.0	Annotated
ENST00000420165	M318	5.114006024912776	Annotated
ENST00000420165	M381	7.311272300294433	Annotated
ENST00000420165	M406	0.0	Annotated
ENST00000420165	M407	0.0	Annotated
ENST00000420165	M410	0.0	Annotated
ENST00000420165	WM1366	0.0	Annotated
ENST00000420165	Melanocyte_EHMa	0.0	Annotated
ENST00000420165	Melanocyte_HEMa	0.0	Annotated
ENST00000420165	Melanocyte_PEMa	2.2703071768745997	Annotated
ENST00000420165	Bladder	0.0	Annotated
ENST00000420165	Blood	0.0	Annotated
ENST00000420165	Brain	0.0	Annotated
ENST00000420165	Brain_Caudate_Nucleus	0.0	Annotated
ENST00000420165	Brain_Cerebellum	0.0	Annotated
ENST00000420165	Brain_Cerebral_Cortex	0.0	Annotated
ENST00000420165	Brain_Corpus_Callosum	0.0	Annotated
ENST00000420165	Brain_Frontal_Lobe	0.0	Annotated
ENST00000420165	Brain_Hippocampus	0.0	Annotated
ENST00000420165	Brain_Medulla_Oblongata	0.0	Annotated
ENST00000420165	Brain_Pons	0.0	Annotated
ENST00000420165	Brain_Spinal_Cord	0.0	Annotated
ENST00000420165	Brain_Temporal_Lobe	0.0	Annotated
ENST00000420165	Brain_Thalamus	0.0	Annotated
ENST00000420165	Colon	0.0	Annotated
ENST00000420165	Heart	0.0	Annotated
ENST00000420165	Kidney	0.0	Annotated
ENST00000420165	Liver	0.0	Annotated
ENST00000420165	Lung	0.0	Annotated
ENST00000420165	Ovary	0.0	Annotated
ENST00000420165	Pancreas	0.0	Annotated
ENST00000420165	Prostate	0.0	Annotated
ENST00000420165	Skeletal_Muscle	0.0	Annotated
ENST00000420165	Small_Intestine	0.0	Annotated
ENST00000420165	Spleen	0.0	Annotated
ENST00000420165	Stomach	0.0	Annotated
ENST00000420165	Testis	0.0	Annotated
ENST00000420165	Thyroid	0.0	Annotated
ENST00000496122	M202	0.0	Annotated
ENST00000496122	M207	0.0	Annotated
ENST00000496122	M230	0.0	Annotated
ENST00000496122	M249	0.0	Annotated
ENST00000496122	M262	0.0	Annotated
ENST00000496122	M285	0.0	Annotated
ENST00000496122	M311	0.0	Annotated
ENST00000496122	M368	0.0	Annotated
ENST00000496122	M403	3.8553495963545363	Annotated
ENST00000496122	M412	0.0	Annotated
ENST00000496122	M412B	0.0	Annotated
ENST00000496122	M417	0.0	Annotated
ENST00000496122	PB	0.0	Annotated
ENST00000496122	SKMEL173	0.0	Annotated
ENST00000496122	SKMEL176	0.0	Annotated
ENST00000496122	M229	0.0	Annotated
ENST00000496122	M263	0.0	Annotated
ENST00000496122	M297	0.0	Annotated
ENST00000496122	M308	0.0	Annotated
ENST00000496122	M375	0.0	Annotated
ENST00000496122	M376	0.0	Annotated
ENST00000496122	M383	0.0	Annotated
ENST00000496122	M395	0.0	Annotated
ENST00000496122	M397	0.0	Annotated
ENST00000496122	M398	0.0	Annotated
ENST00000496122	M399	0.0	Annotated
ENST00000496122	M233	0.0	Annotated
ENST00000496122	M238	0.0	Annotated
ENST00000496122	M243	0.0	Annotated
ENST00000496122	M245	0.0	Annotated
ENST00000496122	M255	0.0	Annotated
ENST00000496122	M299	0.0	Annotated
ENST00000496122	M370	4.632801597352928	Annotated
ENST00000496122	M409	0.0	Annotated
ENST00000496122	M411	0.0	Annotated
ENST00000496122	M418	0.0	Annotated
ENST00000496122	M420	0.0	Annotated
ENST00000496122	M423	0.0	Annotated
ENST00000496122	M492	0.0	Annotated
ENST00000496122	SBCL2	0.0	Annotated
ENST00000496122	M244	0.0	Annotated
ENST00000496122	M257	0.0	Annotated
ENST00000496122	M296	0.0	Annotated
ENST00000496122	M318	0.0	Annotated
ENST00000496122	M381	0.0	Annotated
ENST00000496122	M406	0.0	Annotated
ENST00000496122	M407	0.0	Annotated
ENST00000496122	M410	0.0	Annotated
ENST00000496122	WM1366	0.0	Annotated
ENST00000496122	Melanocyte_EHMa	0.0	Annotated
ENST00000496122	Melanocyte_HEMa	0.0	Annotated
ENST00000496122	Melanocyte_PEMa	0.0	Annotated
ENST00000496122	Bladder	0.0	Annotated
ENST00000496122	Blood	0.0	Annotated
ENST00000496122	Brain	3.90061041822619	Annotated
ENST00000496122	Brain_Caudate_Nucleus	0.0	Annotated
ENST00000496122	Brain_Cerebellum	0.0	Annotated
ENST00000496122	Brain_Cerebral_Cortex	3.0610141856274233	Annotated
ENST00000496122	Brain_Corpus_Callosum	0.0	Annotated
ENST00000496122	Brain_Frontal_Lobe	0.0	Annotated
ENST00000496122	Brain_Hippocampus	0.0	Annotated
ENST00000496122	Brain_Medulla_Oblongata	0.0	Annotated
ENST00000496122	Brain_Pons	0.0	Annotated
ENST00000496122	Brain_Spinal_Cord	0.0	Annotated
ENST00000496122	Brain_Temporal_Lobe	0.0	Annotated
ENST00000496122	Brain_Thalamus	0.0	Annotated
ENST00000496122	Colon	0.0	Annotated
ENST00000496122	Heart	0.0	Annotated
ENST00000496122	Kidney	0.0	Annotated
ENST00000496122	Liver	0.0	Annotated
ENST00000496122	Lung	0.0	Annotated
ENST00000496122	Ovary	0.0	Annotated
ENST00000496122	Pancreas	0.0	Annotated
ENST00000496122	Prostate	0.0	Annotated
ENST00000496122	Skeletal_Muscle	0.0	Annotated
ENST00000496122	Small_Intestine	0.0	Annotated
ENST00000496122	Spleen	0.0	Annotated
ENST00000496122	Stomach	0.0	Annotated
ENST00000496122	Testis	0.0	Annotated
ENST00000496122	Thyroid	0.0	Annotated
ENST00000484652	M202	0.0	Annotated
ENST00000484652	M207	0.0	Annotated
ENST00000484652	M230	0.0	Annotated
ENST00000484652	M249	0.0	Annotated
ENST00000484652	M262	0.0	Annotated
ENST00000484652	M285	0.0	Annotated
ENST00000484652	M311	0.0	Annotated
ENST00000484652	M368	0.0	Annotated
ENST00000484652	M403	0.0	Annotated
ENST00000484652	M412	0.0	Annotated
ENST00000484652	M412B	0.0	Annotated
ENST00000484652	M417	0.0	Annotated
ENST00000484652	PB	0.0	Annotated
ENST00000484652	SKMEL173	0.0	Annotated
ENST00000484652	SKMEL176	19.69417700299136	Annotated
ENST00000484652	M229	0.0	Annotated
ENST00000484652	M263	0.0	Annotated
ENST00000484652	M297	0.0	Annotated
ENST00000484652	M308	0.0	Annotated
ENST00000484652	M375	0.0	Annotated
ENST00000484652	M376	0.0	Annotated
ENST00000484652	M383	0.0	Annotated
ENST00000484652	M395	0.0	Annotated
ENST00000484652	M397	0.0	Annotated
ENST00000484652	M398	0.0	Annotated
ENST00000484652	M399	0.0	Annotated
ENST00000484652	M233	0.0	Annotated
ENST00000484652	M238	0.0	Annotated
ENST00000484652	M243	0.0	Annotated
ENST00000484652	M245	0.0	Annotated
ENST00000484652	M255	0.0	Annotated
ENST00000484652	M299	0.0	Annotated
ENST00000484652	M370	0.0	Annotated
ENST00000484652	M409	0.0	Annotated
ENST00000484652	M411	0.0	Annotated
ENST00000484652	M418	0.0	Annotated
ENST00000484652	M420	0.0	Annotated
ENST00000484652	M423	0.0	Annotated
ENST00000484652	M492	0.0	Annotated
ENST00000484652	SBCL2	0.0	Annotated
ENST00000484652	M244	0.0	Annotated
ENST00000484652	M257	0.0	Annotated
ENST00000484652	M296	0.0	Annotated
ENST00000484652	M318	0.0	Annotated
ENST00000484652	M381	0.0	Annotated
ENST00000484652	M406	0.0	Annotated
ENST00000484652	M407	0.0	Annotated
ENST00000484652	M410	0.0	Annotated
ENST00000484652	WM1366	0.0	Annotated
ENST00000484652	Melanocyte_EHMa	2.596606956564486	Annotated
ENST00000484652	Melanocyte_HEMa	0.0	Annotated
ENST00000484652	Melanocyte_PEMa	0.0	Annotated
ENST00000484652	Bladder	0.0	Annotated
ENST00000484652	Blood	0.0	Annotated
ENST00000484652	Brain	0.0	Annotated
ENST00000484652	Brain_Caudate_Nucleus	4.0228434753038975	Annotated
ENST00000484652	Brain_Cerebellum	0.0	Annotated
ENST00000484652	Brain_Cerebral_Cortex	3.0610141856274233	Annotated
ENST00000484652	Brain_Corpus_Callosum	0.0	Annotated
ENST00000484652	Brain_Frontal_Lobe	0.0	Annotated
ENST00000484652	Brain_Hippocampus	0.0	Annotated
ENST00000484652	Brain_Medulla_Oblongata	0.0	Annotated
ENST00000484652	Brain_Pons	0.0	Annotated
ENST00000484652	Brain_Spinal_Cord	0.0	Annotated
ENST00000484652	Brain_Temporal_Lobe	0.0	Annotated
ENST00000484652	Brain_Thalamus	0.0	Annotated
ENST00000484652	Colon	0.0	Annotated
ENST00000484652	Heart	0.0	Annotated
ENST00000484652	Kidney	0.0	Annotated
ENST00000484652	Liver	0.0	Annotated
ENST00000484652	Lung	0.0	Annotated
ENST00000484652	Ovary	0.0	Annotated
ENST00000484652	Pancreas	0.0	Annotated
ENST00000484652	Prostate	0.0	Annotated
ENST00000484652	Skeletal_Muscle	0.0	Annotated
ENST00000484652	Small_Intestine	0.0	Annotated
ENST00000484652	Spleen	0.0	Annotated
ENST00000484652	Stomach	0.0	Annotated
ENST00000484652	Testis	0.0	Annotated
ENST00000484652	Thyroid	0.0	Annotated
ENST00000361699	M202	0.0	Annotated
ENST00000361699	M207	0.0	Annotated
ENST00000361699	M230	0.0	Annotated
ENST00000361699	M249	0.0	Annotated
ENST00000361699	M262	0.0	Annotated
ENST00000361699	M285	0.0	Annotated
ENST00000361699	M311	0.0	Annotated
ENST00000361699	M368	0.0	Annotated
ENST00000361699	M403	0.0	Annotated
ENST00000361699	M412	0.0	Annotated
ENST00000361699	M412B	0.0	Annotated
ENST00000361699	M417	0.0	Annotated
ENST00000361699	PB	0.0	Annotated
ENST00000361699	SKMEL173	0.0	Annotated
ENST00000361699	SKMEL176	0.0	Annotated
ENST00000361699	M229	0.0	Annotated
ENST00000361699	M263	0.0	Annotated
ENST00000361699	M297	0.0	Annotated
ENST00000361699	M308	0.0	Annotated
ENST00000361699	M375	0.0	Annotated
ENST00000361699	M376	0.0	Annotated
ENST00000361699	M383	0.0	Annotated
ENST00000361699	M395	0.0	Annotated
ENST00000361699	M397	0.0	Annotated
ENST00000361699	M398	0.0	Annotated
ENST00000361699	M399	0.0	Annotated
ENST00000361699	M233	0.0	Annotated
ENST00000361699	M238	0.0	Annotated
ENST00000361699	M243	0.0	Annotated
ENST00000361699	M245	0.0	Annotated
ENST00000361699	M255	0.0	Annotated
ENST00000361699	M299	0.0	Annotated
ENST00000361699	M370	0.0	Annotated
ENST00000361699	M409	0.0	Annotated
ENST00000361699	M411	0.0	Annotated
ENST00000361699	M418	0.0	Annotated
ENST00000361699	M420	0.0	Annotated
ENST00000361699	M423	0.0	Annotated
ENST00000361699	M492	0.0	Annotated
ENST00000361699	SBCL2	0.0	Annotated
ENST00000361699	M244	0.0	Annotated
ENST00000361699	M257	0.0	Annotated
ENST00000361699	M296	0.0	Annotated
ENST00000361699	M318	0.0	Annotated
ENST00000361699	M381	0.0	Annotated
ENST00000361699	M406	0.0	Annotated
ENST00000361699	M407	0.0	Annotated
ENST00000361699	M410	0.0	Annotated
ENST00000361699	WM1366	0.0	Annotated
ENST00000361699	Melanocyte_EHMa	0.0	Annotated
ENST00000361699	Melanocyte_HEMa	0.0	Annotated
ENST00000361699	Melanocyte_PEMa	0.0	Annotated
ENST00000361699	Bladder	0.0	Annotated
ENST00000361699	Blood	0.0	Annotated
ENST00000361699	Brain	4.212659251684285	Annotated
ENST00000361699	Brain_Caudate_Nucleus	0.0	Annotated
ENST00000361699	Brain_Cerebellum	0.0	Annotated
ENST00000361699	Brain_Cerebral_Cortex	10.713549649695981	Annotated
ENST00000361699	Brain_Corpus_Callosum	0.0	Annotated
ENST00000361699	Brain_Frontal_Lobe	3.1981312274303892	Annotated
ENST00000361699	Brain_Hippocampus	4.9840462525398905	Annotated
ENST00000361699	Brain_Medulla_Oblongata	0.0	Annotated
ENST00000361699	Brain_Pons	0.0	Annotated
ENST00000361699	Brain_Spinal_Cord	3.7938304901016586	Annotated
ENST00000361699	Brain_Temporal_Lobe	3.27600274470642	Annotated
ENST00000361699	Brain_Thalamus	0.0	Annotated
ENST00000361699	Colon	4.390353209030646	Annotated
ENST00000361699	Heart	0.0	Annotated
ENST00000361699	Kidney	0.0	Annotated
ENST00000361699	Liver	0.0	Annotated
ENST00000361699	Lung	0.0	Annotated
ENST00000361699	Ovary	0.0	Annotated
ENST00000361699	Pancreas	0.0	Annotated
ENST00000361699	Prostate	0.0	Annotated
ENST00000361699	Skeletal_Muscle	0.0	Annotated
ENST00000361699	Small_Intestine	0.0	Annotated
ENST00000361699	Spleen	0.0	Annotated
ENST00000361699	Stomach	0.0	Annotated
ENST00000361699	Testis	0.0	Annotated
ENST00000361699	Thyroid	0.0	Annotated
ENST00000370058	M202	0.0	Annotated
ENST00000370058	M207	0.0	Annotated
ENST00000370058	M230	7.094887594276862	Annotated
ENST00000370058	M249	0.0	Annotated
ENST00000370058	M262	0.0	Annotated
ENST00000370058	M285	0.0	Annotated
ENST00000370058	M311	8.007854103304513	Annotated
ENST00000370058	M368	0.0	Annotated
ENST00000370058	M403	0.0	Annotated
ENST00000370058	M412	0.0	Annotated
ENST00000370058	M412B	0.0	Annotated
ENST00000370058	M417	0.0	Annotated
ENST00000370058	PB	0.0	Annotated
ENST00000370058	SKMEL173	0.0	Annotated
ENST00000370058	SKMEL176	0.0	Annotated
ENST00000370058	M229	0.0	Annotated
ENST00000370058	M263	0.0	Annotated
ENST00000370058	M297	0.0	Annotated
ENST00000370058	M308	0.0	Annotated
ENST00000370058	M375	3.891271644225697	Annotated
ENST00000370058	M376	0.0	Annotated
ENST00000370058	M383	0.0	Annotated
ENST00000370058	M395	0.0	Annotated
ENST00000370058	M397	0.0	Annotated
ENST00000370058	M398	0.0	Annotated
ENST00000370058	M399	0.0	Annotated
ENST00000370058	M233	0.0	Annotated
ENST00000370058	M238	0.0	Annotated
ENST00000370058	M243	0.0	Annotated
ENST00000370058	M245	2.475392188142478	Annotated
ENST00000370058	M255	5.4886184988068605	Annotated
ENST00000370058	M299	0.0	Annotated
ENST00000370058	M370	0.0	Annotated
ENST00000370058	M409	0.0	Annotated
ENST00000370058	M411	0.0	Annotated
ENST00000370058	M418	0.0	Annotated
ENST00000370058	M420	0.0	Annotated
ENST00000370058	M423	0.0	Annotated
ENST00000370058	M492	0.0	Annotated
ENST00000370058	SBCL2	0.0	Annotated
ENST00000370058	M244	0.0	Annotated
ENST00000370058	M257	0.0	Annotated
ENST00000370058	M296	0.0	Annotated
ENST00000370058	M318	5.114006024912776	Annotated
ENST00000370058	M381	0.0	Annotated
ENST00000370058	M406	0.0	Annotated
ENST00000370058	M407	0.0	Annotated
ENST00000370058	M410	0.0	Annotated
ENST00000370058	WM1366	0.0	Annotated
ENST00000370058	Melanocyte_EHMa	2.596606956564486	Annotated
ENST00000370058	Melanocyte_HEMa	0.0	Annotated
ENST00000370058	Melanocyte_PEMa	0.0	Annotated
ENST00000370058	Bladder	0.0	Annotated
ENST00000370058	Blood	0.0	Annotated
ENST00000370058	Brain	0.0	Annotated
ENST00000370058	Brain_Caudate_Nucleus	0.0	Annotated
ENST00000370058	Brain_Cerebellum	0.0	Annotated
ENST00000370058	Brain_Cerebral_Cortex	0.0	Annotated
ENST00000370058	Brain_Corpus_Callosum	0.0	Annotated
ENST00000370058	Brain_Frontal_Lobe	0.0	Annotated
ENST00000370058	Brain_Hippocampus	0.0	Annotated
